MGS 1;Hard;2005;What is the year the Shadow Moses Incident takes place?;2005;2002;1998;2007
MGS 1;Normal; Frank Jaeger;In reallity Cyborg Ninja is none other than?; Frank Jaeger;Jack Hunter;Frank Hunter;Donald Anderson
MGS 1;Normal;Kurd;What was Sniper Wolf's ethnicity?;Kurd;Arabian;Iranian;Iraqi
MGS 1;Normal;Lung Shot;Sniper Wolf says it's no use trying to save her because she is?;Lung Shot;Gut Shot;Heart Shot;Head Shot
MGS 1;Normal;Les Enfants Terribles;Snake and Liquid are clones of  the legendary Soldier Big Boss. What was the name of this project?;Les Enfants Terribles;Sons of Liberty;Operation: Snake Eater;Naked Sin
MGS 1;Hard;David;What is Solid Snake's real name?;David;John;Jack;Eli
MGS 1;Normal;Hideo Kojima;Who is the creator of the "Metal Gear" Saga?;Hideo Kojima;David Hayter;Yoji Shinkawa;Akio Ôtsuka
MGS 1;Normal;The Sons of Big Boss;How do the terrorist call themselves?;The Sons of Big Boss;Dead Cell;Patriots;Rebels
MGS 1;Hard;Simulated Soldiers;How should Next Generation Special Forces be called according to Roy Campbell?;Simulated Soldiers;Unknown Soldiers;Mercenaries;Cyber Soldiers
MGS 1;Hard;no Weapons;At the beginning of the game Snake has ...?;no Weapons;a FAMAS;a Socom Pistol;a Mk 22
MGS 1;Normal;Solid Snake;Who is the protagonist of "Metal Gear Solid"?;Solid Snake;Raiden;Liquid Snake;Big Boss
MGS 1;Normal;Kazuhira "Kaz" Miller;What is the real name of Master Miller?;Kazuhira "Kaz" Miller;Johnny Sasaki;Donald Anderson;Gray Fox
MGS 1;Normal;Daughter;How is Meryl Silverburgh related to Roy Campbell?;Daughter;Niece;They are not related;Sister
MGS 1;Hard;September 3rd, 1998;The release date of Metal Gear Solid 1 in Japan for PlayStation 1 was...?;September 3rd, 1998;October 21st, 1998;February 22nd, 1999;Decemter 4th, 1998
MGS 1;Normal;Mei Ling;Who saves the game data?;Mei Ling;Nastasha Romanenko;Naomi Hunter;Roy Campbell
MGS 1;Hard;140.15;What is Maryl's codec frequency?;140.15;140.30;141.12;140.42
MGS 1;Hard;141.52;What is Nastasha Romanenko's codec frequency?;141.52;141.12;140.92;140.52
MGS 1;Hard;140.96;What is Mei Ling's codec frequency?;140.96;140.56;141.16;141.96
MGS 1;Hard;140.48;What is Deepthroat's codec frequency?;140.48;140.46;140.28;140.32
MGS 1;Hard;141.80;What is Master Miller's codec frequency?;141.80;141.12;140.85;140.15
MGS 1;Hard;141.12;What is Otacon's codec frequency?;141.12;141.02;141.21;141.52
MGS 1;Hard;Meryl Silverburgh;The codec frequency 140.15 was used by?;Meryl Silverburgh;Otacon;Deepthroat;Nastasha Romanenko
MGS 1;Hard;Mei Ling;The codec frequency 140.96 was used by?;Mei Ling;Master Miller;Roy Campbell & Naomi Hunter;Deepthroat
MGS 1;Hard;Roy Campbell & Naomi Hunter;The codec frequency 140.85 was used by?;Roy Campbell & Naomi Hunter;Meryl Silverburgh;Master Miller;Otacon
MGS 1;Hard;Deepthroat;The codec frequency 140.48 was used by?;Deepthroat;Meryl Silverburgh;Master Miller;Otacon
MGS 1;Normal;Meryl Silverburgh;Whose codec frequency was written on the back of the game's CD case?;Meryl Silverburgh;Master Miller;Deep Throat;Otacon
MGS 1;Hard;7;How many codec frequenies were used in the game?;7;5;8;10
MGS 1;Normal;David Hater;Who is the english voice actor of Solid Snake?;David Hater;Cam Clarke;Christopher Randolph;Patric Zimmerman
MGS 1;Normal;Akio Ôtsuka;Who is the japanese voice actor of Solid Snake?;Akio Ôtsuka;Banjô Ginga;Hideyuki Tanaka;Takeshi Aono
MGS 1;Hard;Jennifer Hale;Who is the english voice actress of Naomi Hunter?;Jennifer Hale;Debi Mae West;Kim Mai Guest;Tasia Valenza
MGS 1;Hard;Christopher Randolph;Who is the english voice actor of Hal Emmerich?;Christopher Randolph;Paul Eiding;Greg Eagles;Peter Lurie
MGS 1;Hard;Meryl Silverburgh;Debi Mae West is the english voice actress of …?;Meryl Silverburgh;Sniper Wolf;Mei Ling;Naomi Hunter
MGS 1;Hard;Roy Campbell;Paul Eiding is the english voice actor of …?;Roy Campbell;Donald Anderson;Gray Fox;Vulcan Raven
MGS 1;Hard;Doug Stone;Who is the english voice actor of Psycho Mantis?;Doug Stone;Peter Lurie;Dean Scofield;John Cygan
MGS 1;Hard;Tasia Valenza;Who is the english voice actress of Sniper Wolf?;Tasia Valenza;Kim Mai Guest;Jennifer Hale;Debi Mae West
MGS 1;Normal;to receive a healing massage;After the torture, Snake is locked in a jail cell. Why was he asked to put the PSone controller up against his forearm?;to receive a healing massage;to remind him of the torture;to show him a way out;to distract Johnny Sasaki
MGS 1;Normal;by using ketchup;After the torture, how can Snake escape from the jail cell?;by using ketchup;by using fork;by using knife;by using mustard
MGS 1;Normal; Sniper Wolf’s handkerchief;Snake can avoid attacks from wolves by equipping …; Sniper Wolf’s handkerchief;Otacon’s ID card; Sniper Wolf’s gun;Otacon's scarf
