MGS 1;Hard;2005;В каком году произошел Шэдоу-Мозес инцидент?;2005;2002;1998;2007
MGS 1;Normal;Фрэнк Ягер;На самом деле, Киборг Ниндзя - это никто иной, как?;Фрэнк Ягер;Джек Хантер;Фрэнк Хантер;Дональд Андерсон
MGS 1;Normal;Курдская;Какова была национальность от Снайпер Вульф?;Курдская;Арабская;Иранская;Иракская
MGS 1;Normal;Выстрел в легкое;Снайпер Вульф сказал, что нет смысла спасать ее, потому что у нее смертельная рана. Какая именно?;Выстрел в легкое;Выстрел в живот;Выстрел в сердце;Выстрел в голову
MGS 1;Normal;Ужасные дети;Снейк и Ликвид - клоны легендарного солдата Биг Босса. Как назывался этот проект?;Ужасные дети;Сыновья Свободы;Операция: Пожиратель змей;Голый грех
MGS 1;Hard;Давид;Как зовут солид Снейка на самом деле?;Давид;Джон;Джек;Илай
MGS 1;Normal;Хидео Кодзима;Кто является создателем саги "Metal Gear"?;Хидео Кодзима;Дэвид Хейтер;Ёдзи Синкава;Акио Эцука
MGS 1;Normal;Сыновья биг босса (The Sons of Big Boss);Как террористы назвали себя?;Сыновья биг босса (The Sons of Big Boss);Мертвая клетка (Dead Cell);Патриоты (Patriots);Повстанцы (Rebels)
MGS 1;Hard;Симулированные солдаты;Как, по словам Роя Кэмпбелла, нужно называть спецназ следующего поколения (Next Generation Special Forces)?;Симулированные солдаты;Неизвестные солдаты;Наемники;Киберсолдаты
MGS 1;Hard;Никакого оружия;В начале игры у Снейка есть...?;Никакого оружия;ФАМАС;Сокомский пистолет;Мк 22
MGS 1;Normal;Солид Снейк (Solid Snake);Кто является главным героем в "Metal Gear Solid"?;Солид Снейк (Solid Snake);Райден (Raiden);Ликвид Снейк (Liquid Snake);Биг Босс (Big Boss)
MGS 1;Normal;Казухира "Каз" Миллер (Kazuhira "Kaz" Miller);Как на самом деле зовут мастера Миллера?;Казухира "Каз" Миллер (Kazuhira "Kaz" Miller);Джонни Сасаки  (Johnny Sasaki);Дональд Андерсон  (Donald Anderson);Грей Фокс (Gray Fox)
MGS 1;Normal;Дочь;Как Мерил Сильвербёрг связана с Рой Кэмпбеллом?;Дочь;Племянница;Они не связаны;Сестра
MGS 1;Hard;3. Сентября 1998;Когда MGS 1 был выпущен в Японии для PlayStation 1?;3. Сентября 1998;21. Октября 1998;22. Февраля 1999;4. Декабря 1998
MGS 1;Normal;Мэй Линг (Mei Ling);Кто сохраняет игровые данные?;Мэй Линг (Mei Ling);Насташа Романенко (Nastasha Romanenko);Наоми Хантер (Naomi Hunter);Рой Кэмпбелл (Roy Campbell)
MGS 1;Hard;140.15;Какова частота кодека Мерил?;140.15;140.30;141.12;140.42
MGS 1;Hard;141.52;Какова частота кодека Насташи Романенко?;141.52;141.12;140.92;140.52
MGS 1;Hard;140.96;Какова частота кодека Мэй Линг?;140.96;140.56;141.16;141.96
MGS 1;Hard;140.48;Какова частота кодека Диптрот (Deepthroat)?;140.48;140.46;140.28;140.32
MGS 1;Hard;141.80;Какова частота кодека Мастера Миллера?;141.80;141.12;140.85;140.15
MGS 1;Hard;141.12;Какова частота кодека Отакона?;141.12;141.02;141.21;141.52
MGS 1;Hard;Мерил Сильвербёрг (Meryl Silverburgh);Кто воспользовался частотой кодека 140.15?;Мерил Сильвербёрг (Meryl Silverburgh);Отакон (Otacon);Диптрот (Deepthroat);Насташа Романенко (Nastasha Romanenko)
MGS 1;Hard;Мэй Линг (Mei Ling);Кто воспользовался частотой кодека 140.96?;Мэй Линг (Mei Ling);Мастер Миллер (Master Miller);Рой Кэмпбелл и Наоми Хантер (Roy Campbell & Naomi Hunter);Диптрот (Deepthroat)
MGS 1;Hard;Рой Кэмпбелл и Наоми Хантер (Roy Campbell & Naomi Hunter);Кто воспользовался частотой кодека 140.85?;Рой Кэмпбелл и Наоми Хантер (Roy Campbell & Naomi Hunter);Мерил Сильвербёрг (Meryl Silverburgh);Мастер Миллер (Master Miller);Отакон (Otacon)
MGS 1;Hard;Диптрот (Deepthroat);Кто воспользовался частотой кодека 140.48?;Диптрот (Deepthroat);Мерил Сильвербёрг (Meryl Silverburgh);Мастер Миллер (Master Miller);Отакон (Otacon)
MGS 1;Normal;Мерил Сильвербёрг (Meryl Silverburgh);Чья частота кодека была записана на обратной стороне футляра для дисков игры?;Мерил Сильвербёрг (Meryl Silverburgh);Мастер Миллер (Master Miller);Диптрот (Deepthroat);Отакон (Otacon)
MGS 1;Hard;7;Сколько частот кодеков было использовано в игре?;7;5;8;10
MGS 1;Normal;Дэвид Хэйтер (David Hater);Кто озвучивает Солид Снейка (Solid Snake) на английском языке?;Дэвид Хэйтер (David Hater);Кэм Кларк (Cam Clarke);Кристофер Рэндольф (Christopher Randolph);Патрик Циммерман (Patric Zimmerman)
MGS 1;Normal;Акио Эцука (Akio Ôtsuka);Кто озвучивает Солид Снейка (Solid Snake) на японском языке?;Акио Эцука (Akio Ôtsuka);Баньо Джинга (Banjô Ginga);Хидеюки Танака (Hideyuki Tanaka);Такеши Аоно (Takeshi Aono)
MGS 1;Hard;Дженнифер Хейл;Кто озвучивает Наоми Хантер (Naomi Hunter) на английском языке?;Дженнифер Хейл;Деби Мэй Вест;Ким Май Гест;Тася Валенца
MGS 1;Hard;Кристофер Рэндольф;Кто озвучивает Хэла Эммериха (Hal Emmerich) на английском языке?;Кристофер Рэндольф;Пол Эйдинг;Питер Лурье;Питер Лурье
MGS 1;Hard;Мерил Сильвербёрг (Meryl Silverburgh);Кого озвучивает Деби Мэй Вест на английском языке?;Мерил Сильвербёрг (Meryl Silverburgh);Снайпер Вульф (Sniper Wolf);Мэй Линг (Mei Ling);Наоми Хантер (Naomi Hunter)
MGS 1;Hard;Рой Кэмпбелл (Roy Campbell);Кого озвучивает Пол Эйдинг на английском языке?;Рой Кэмпбелл (Roy Campbell);Дональд Андерсон (Donald Anderson);Грей Фокс (Gray Fox);Вулкан Рэйвен (Vulcan Raven)
MGS 1;Hard;Даг Стоун;Кто озвучивает Психо Мэнтиса (Psycho Mantis) на английском языке?;Даг Стоун;Питер Лурье;Дин Скофилд;Джон Сиган
MGS 1;Hard;Тася Валенца;Кто озвучивает Снайпер Вульф (Sniper Wolf) на английском языке?;Тася Валенца;Ким Май Гест;Дженнифер Хейл;Деби Мэй Вест
MGS 1;Normal;чтобы получить лечебный массаж;После пыток Снейк был заперт в тюремной камере. Почему его попросили приставить PlayStation контроллер к предплечью?;чтобы получить лечебный массаж;чтобы напомнить ему о пытках;чтобы показать ему выход;чтобы отвлечь Джонни Сасаки
MGS 1;Normal;с помощью кетчупа;После пыток, как Снейк может сбежать из тюремной камеры?;с помощью кетчупа;с помощью вилки;с помощью ножа;с помощью горчицы
MGS 1;Normal;платок от Снайпер Вульф;Снейк может избежать атак волков, снабдив …;платок от Снайпер Вульф;ID-карту Отакона;ружьё от Снайпер Вульф;Шарф Отакона
MGS 1;Normal;X-кнопка;Какая кнопка была использована на контроллере PlayStation 1 чтобы ползать?;X-кнопка;O-кнопка;квадратная кнопка;треугольная кнопка
MGS 1;Normal;квадратная кнопка;На контроллере PlayStation 1, какая кнопка использовалась для стрельбы из ружья?;квадратная кнопка;X-кнопка;треугольная кнопка;O-кнопка
MGS 1;Normal;треугольная кнопка;На контроллере PlayStation 1, какая кнопка использовалась для просмотра от первого лица?;треугольная кнопка;X-кнопка;квадратная кнопка;O-кнопка
MGS 1;Normal;Доменная печь;PlayStation: Какая область не была частью Диска 1?;Доменная печь;Снежное поле;Здание атомного склада;Башни связи
MGS 1;Normal;устранить Ликвида;Что не было задачей, которую Снейк должен был выполнять с самого начала?;устранить Ликвида;предотвратить запуск ядерного  удара;спасти заложников;устранить террористическую угрозу
MGS 1;Normal;Пайки;На самом начале, что можно было найти в подводной зоне?;Пайки;Гранаты;Боеприпасы;Оружие
MGS 1;Normal;Пайки;Зона доков: что можно было найти рядом с вилочным погрузчиком?;Пайки;Гранаты;Боеприпасы;светошумовые гранаты (Stun Grenades)
MGS 1;Hard;Пайки;Площадь Гелипорта: что можно было найти рядом с лифтом?;Пайки;ID-ключ-карта;Боеприпасы;светошумовые гранаты (Stun Grenades)
MGS 1;Normal;светошумовые гранаты (Stun Grenades);Площадь Гелипорта: что можно было найти в кладовке с камерой?;светошумовые гранаты (Stun Grenades);Пайки;Боеприпасы;Оружие
MGS 1;Hard;Пистолет Socom;Площадь Гелипорта: что можно было найти внутри грузовика?;Пистолет Socom;Пайки;Боеприпасы;Картонная коробка А
MGS 1;Normal;Площадь Гелипорта;Где Снейк нашёл пистолет SOCOM?;Площадь Гелипорта;Зона доков;Ангар танков;Зона тюремной камеры
MGS 1;Hard;Ангар танков;Где Снейк нашёл инфракрасные очки?;Ангар танков;Зона тюремной камеры;Площадь Гелипорта;Оружейная площадка
MGS 1;Hard;Ангар танков;Где Снейк нашёл картонную коробку А?;Ангар танков;Зона тюремной камеры;Площадь Гелипорта;Оружейная площадка
MGS 1;Normal;маскирующие гранаты (Chaff Grenades);Что можно было найти в центре вертолётной площадки?;маскирующие гранаты (Chaff Grenades);светошумовые гранаты (Stun Grenades);Гранаты;Пистолет Соком (Socom)
MGS 1;Normal;Каньон;Где Диптрот (Deepthroat) впервые связался со Снейком?;Каньон;Оружейная площадка;Ангар танков;Здание ядерного склада
MGS 1;Hard;Каньон;Где Снейк нашёл карту безопасности третьего уровня?;Каньон;Оружейная площадка;Ангар танков;Здание ядерного склада
MGS 1;Normal;Пайки;Что можно было найти у входа в здание ядерного комплекса на рампе слева от вас?;Пайки;Глушитель Соком;маскирующие гранаты (Chaff Grenades);Карту безопасности 3-го уровня
MGS 1;Hard;Ядерное здание на этаже В2;Где можно было найти очки ночного видения (Night Vision Goggle)?;Ядерное здание на этаже В2;Ядерное здание на этаже В1;Оружейная площадка;Ангар танков на верхнем этаже
MGS 1;Normal;Киберниндзя;3-й босс бой был против?;Киберниндзя;Вулкан Рейвен;Снайпер Вульф;Психо Мантис
